vuln_id,severity,record_sha256,description_sha256
VE-0001,Critical,339baa6bb618470d8c3595a42cdef2d48bf8c42ae018fc05bd2b7d44e5e8212e,3cba074d1ad527ba0eee49bc968811013f8efbe35fe8add7db54f4c68252401a
VE-0002,Critical,afdc27828e60e8f55516df4176151374889e46c07b30f3306d330ecee796089d,7510d25192e85821bf15fa56f32f7eb2d0a92c29f6b410aee649b6dba459c647
VE-0003,Critical,54aa27b96751a055e44316d082062dff075b177a52bc1016fa6cf2f5b07c61b3,46f1c66412a853e8bcdaa65364e18881512f0a9746d7855804521329ecab3395
VE-0004,Critical,a25856a1660654a70ae401382cac4516d297c516a4159abcccd8d70632c4e768,583f91166407c628ccd8dd6d1b3266f2c66c72de5b73f86e27c60708b6316c65
VE-0005,Critical,d38d05675864da37212d2dcbc65154e033cbc79694be5cb955cb3899b2384daa,2d1c93e83617f487a72158fcdc61eab9616f66cd9510833ac154085dd428f081
VE-0006,Critical,ceca07f6f042e0da191f1633700faa3b8a758baf18cadb7edd5ccc89c20be8cc,cd6b07d08ca62c9a12296c8c306b6d8db60e2df6716007e698b90c4c669bf223
VE-0007,Critical,0005c5c37782a191f65b97b9edd1a1ac7188649a1818b48fc3ad8d1447b7d212,bf2f7ced6df2e4ad653cb3e4d9a69c3c747b69a31574fc191a7bd473d52ae973
VE-0008,Critical,27c38bbc8f1323b152b364c7ed1b71ddec2eb02715850c7a02ad7e3c437f059b,0077f89a5be653facf44b449092536327f486b44e5487bf83ca9a0701992767b
VE-0009,Critical,f705e870f2b1a8e725799843f661b994e27ae764937f0aac048e88ec1873ea96,71f8c44d0fa08a787fffc75b0b922e276ee039b819a60be1b77b659b8901c0ae
VE-0010,Critical,4dd6984d7c05e349c5798ee132d2d2c7773d844b0226706b5bbcff256bec079a,ce30ad845fe7d67461b5f32914f22b93aca6251cd7dbd2b88a2cfeab007600d3
VE-0011,Critical,b4ea9385be8fb3e524248e0a5c9fc860e9d523bae95dcfa2d3ee05aad86ad7b6,5d85a59cec4e4a41a5d45828b447d283420cf38be85478657134e481d9b533a9
VE-0012,Critical,4d265e2f7860cc9c37d61582689dbf5f89175d4d456eaa0b3dea2f763aaf88eb,38f960efd30c4b770c90723e312d4f7a90ffc04504b76334ed35033eda3bbfdf
VE-0013,Critical,b47574184c700ad4ad91cdd3ed6e4d434d175b09f43c1c9c197ff39c9118fb24,13e1a48674178a6d95ff55fb44c499a7c2e36e275a9a7cf34c91cce105e05844
VE-0014,Critical,4cd78e2a796c46d988ee9889b64a24cfbcc6d7b2e0a71bffbd15730ff0cb6329,34df4f651301c54a33676ed303a4e4787eb8c1f8d50829c72714a464d94d7df7
VE-0015,Critical,1cc43541c88075cb4d9e4624513d4cadaad39ff7344480c75bc6116cd4bbed2d,3ea19f859c9919d62dcb6681693e63950903a1ba16d67e5ff2c3a090e83b3468
VE-0016,Critical,e7059d8c7e6eaffe0a922d9e1fdb40b99d0efcbedc2b76e20928b101cc12b8e0,57f7b3982599a1f159a04f11c154e74663b015fb9dc2af3f9a17eae4780c8fe5
VE-0017,Critical,81969942588f4008aaad002e6dcbc89b3c3977527ef339555494d37183f03be2,3ddf8ed084278fe97e514a773bb2b39202cf762a50ea1dcef609039c5d27f024
VE-0018,Critical,76168034ae96afe5967e33df476eb43f62c701c72272cc9ce1ab4034ed3c2a03,b21205cde54346fc393a0e3b50bc6aaae91d0d9097fbf7c30d5475d6ac51ba2a
VE-0019,Critical,a5fa06bdb3db6a217ac24d35507195d19a80a6af1ad0aa731d27ccbdc3a9e195,6ea1c7195202a0bc38598f3072881fcd34ddd7c87917fbf8c688cc7382638790
VE-0020,Critical,634d2f46ceef0f63c54a4ad0fa0b34aedc997669344ed2f16149ea268ff30bce,ca83b9c4005a288c84e3e4542dd4e46c77a8fdba46340510cc1792fa75c33b18
VE-0021,Critical,bd660768279bb9ec7ca3d07876aad3d4bc4630b18e13865cd34067795081ad81,91a84627233d3c8408e9dda53f4a81b78fef668162fbf12731911eec2683e900
VE-0022,Critical,67d0ede7258853c48de5d364bfbf3fddab71846beb7bf6b9ee1992158ac7ba80,dfa709b6916d9a106bae2c2bc5787afbfe436e901e4c1e6ac9d7ddf000dfb00f
VE-0023,Critical,3588b0dbc4d63c2a88eb51d328af656c3bf07a2c5a718c1eb70147a54796a122,cbdc514b2275aff9a80bf453ea2cc41b8d015e96e090acd1bbc9c273b43b9db8
VE-0024,Critical,a779a768df8c8cd9cf120f309dc2628a35f1451598f4e9b2dfecf9639433457a,dc74884ca7b017ffea5dbf0122b4781cdd58aae2724e44eff21faa0da1e1c54a
VE-0025,Critical,d7b618614f3d6c706e110e22f5a3cb1e6773750875fcb1b7d966c65b0e8a0a1a,7ca8abcb56ea6c0223cc4735aa1d66ca558bdcba17aa25f999cd34ef6eb8c8ee
VE-0026,Critical,78a997c689a446fa5deaf1d5cf11ffc37523f8c29e9f8b97eb12d2c358461433,bb65d0889e1a8eeca8d67ed7a129a549d8dbd27ba2eaf6d9a423b31a2aced98e
VE-0027,Critical,aa9cae19e1ffac1d586440531a0ac89cf86f638abd3e2e34fb3228ddaf65cbbc,f6f31db02be35cb50d9300eae6b9c71c36eb0811f3c2ad97da825f7758cea48f
VE-0028,Critical,843e4a6fa99e5e85c98895575cbc7d55444f7b485fa02515fae4a4504e4c2546,9e5d9faa780778cd678ad9a85d49bf3ee4fabb81b76e08dafc2cbfbda0d26a76
VE-0029,Critical,196f502de21297bf60368ea0c751fb1c79c978a02f19d74565aeb995a9a7b7a7,b27584fc63ac791cdbf03e310e0ed8e62585a9d272c32964bbaac6bdd27f6303
VE-0030,Critical,75cc10459c415da7af29463e61269330299f6a3ed2568cbf0764f397a07d7e27,57588389dcbdd6c56202cfb5dfef79a4bf71c9e0aa303e9800d6cb25de2c5df0
VE-0031,Critical,accc9a3f966b5aa76b4eb867c1305ce898ae40080ccafd1670c6c336f0c68e75,34c9cf42ec131aa0dcbaf313d091357f1e10d36c9b9c10b26a45101db3d34c12
VE-0032,Critical,1d0c979476dcef8aec6d37d3891b74867fdde5c722fcf13372012ee8fca3c639,21bec4b0aa4e5b70f34bfaa85ffc4e2186ee654eb8bc2091a8e4c2f4e0141556
VE-0033,Critical,900b586db48d14d613b3d4b172d2a19f975460d79937f27e05b7752b6a1e20a6,96054399dcbf6d44b8a04deb8600d09386ea00d78afd1603b5f1d332493f53cd
VE-0034,Critical,a78ff3ad86d977b03398d49b2b458dd1679c155d3235536a7ba275406e13f293,b5cd390bdb4d74379ff329bf26f452f6014319021aafde81e35806c28b44ff11
VE-0035,Critical,ada922043a82ef7e981e4e0a653929d0adf8b503f43eabe5af288213cfdaf363,8b64afbc035eed685a0688261d64879ca662665c95d901269950e93bb7b011da
VE-0036,Critical,d2b42d17b90619881a040c384d5a16d08e01326e21a3b494cb1aa41ffee182b9,fb9f0a3d9acc32412f7b7b141edecfb6246c65c2111096148c27e2b7ff7f6b14
VE-0037,Critical,4192e39d83185bc241b65d3e1ca96ba8cb262acb05847c689dc1213467603c4d,9ac67567b95f0121c3b2c2a9040f1abbf1df06f4c5f9e47f9a977ea84fc3adc0
VE-0038,Critical,11138be7c836a75578b82ff8f3a81e8c6aa7c26371e9259c66d8b3a0287a1c0b,80c47f1266dc15504e460f0ca8514ab1c310437b22c83a55fb741f489c65e651
VE-0039,Critical,c3460c3b654dbf9e96ecff7eec5aa8c1c88546b2387d058e71c6c0ab5eb949b1,1dc7b659079ca9f27ae12fefe7cc2f3186fc7b525cda33344fe22c1060a63929
VE-0040,Critical,4941de79b6f4c60a2369d5d93656b39b56aa38c228a33cb8aa265c8559e33e1a,fcbe1a857c961b74d3134d2d66452395528b978c59d8406ed8032975a5dce7b2
VE-0041,Critical,af4b658f8df2fefd5bd9e70b246a4a86ce436d69d7447a107a599a60bab033c4,6c44852bbb6a6ab8a938b16ad10d68e9501c81514871cf1c6cdb7d4fd72799ec
VE-0042,Critical,0ac378e4e683a91a700c578122810060c0f689308c2ec0dd9ff9f3f48f3434a5,b672e2c1f57a4aa06fbb92c21bbbd8b69b219041fc8af4bd936a38d5baf60f1d
VE-0043,Critical,475fab3857224b28172f1d58ff0d3981b957e1e69ac92f8f1ffba9109c2b25df,016fed70dcbc3be72be2380badc1741a92c21e4fd1a2598144cc60368392c184
VE-0044,Critical,9c2189cf60eadb16774cdff2f0b303dbdce0db3a72662bb00b7caeb4c04ea83c,c37dfc32a5e555530a26c57307ba6bfc2103b80c31846da5301e4f9ea89a1caf
VE-0045,Critical,118a4ab23ce2cf0067af5b582dab9cb1c71835f26f71af389b0d07281745ce20,7b6b71f7e53ef8a3f6c2662e027fcd89bc654ab67ad62c0d216c2c8f7f5d43b2
VE-0046,Critical,8e5b0b5c30d04583698b87b48086572b34a2ae580ab8ea08853c0beff42a0fe3,9cb18d7367d636cb224bd1b2808ba3c7d9e03efa574d20d9df801687eb092bd7
VE-0047,Critical,e6781da1b45c0ae1cea61c14f44e033e6dca208ef2d9baae173471734864c248,29b0992588ecdbf1cfa257f36d02796aa4c04e3f2ccc197ba2542c2923097bb5
VE-0048,Critical,be7caf9c74441ef694b25664d3716774f145620326cfe395c5c4f0b3e519f21b,1bce4de2b1fa1c9879c00abc59d362cb351148af8f9dcbc863d1fdf54a4869a8
VE-0049,Critical,bb6683511f6271d5379cd788b6600388f8421720d952c5e42acb1f13a4f25674,61c9249c664c17a0611c461fd280458d0502f98753757f98322055ce1bdf1ed6
VE-0050,Critical,e2703cc8c217fa78574e60e974a31efd745d8e2f7838f78ed9375e6762673fd9,7b4cff2d9ced8a452e46f78ecaead2e73a7d749573fff126e02f103db056cb24
VE-0051,Critical,6db35d46fb94202b064ef88b9f2ac76913cec75a81ae88b12eb772e0f706854f,24dc3dc2766c7012fa3147fbd1878593adfa64b18967f1867db799797cdf9277
VE-0052,Critical,a77304652bb9432dfa9749a21ba2e75e0ee3098f0f256f5d912db5bf56ec528f,a36a279fbd02a0973dc92e12fb87b3c76d02825bcd8d1c69d129f83a559bbda9
VE-0053,Critical,539811e47f7a683860f84b24d82f350459ecd9b77bc744f9b1cbdd4782059742,8afa1b8cad96be4812e1b77166234b35b1f342c7522621b841545d879b766404
VE-0054,Critical,3dc9b6c4cb058f7d46ce86041b622928a9c8cf213bc8f65bb2406e177c8cc9b8,6250d1118bd09b1c4bef69a99d61128dda728ace564066c5ecdc2034002969a1
VE-0055,Critical,2df765444e8da715e5c31b4076437dbf45589f70aa90dd15cf1566528eb3ed3a,d8e5c513b67a0abeab734a0a55c5b6e7cfe75ecf03241f42c706e34c859d571a
VE-0056,Critical,4bc2f3342c5f503bbb20b6b549a42a60080e581d73fce3d16182a79a565b3ed0,0b5c6b0a17c23173bf09923c3cf8718a7afa15b0727c94767a3c254e33e8ebe4
VE-0057,Critical,dd3067afc15ee146571ee731c86b4b0b290815f637e3068cdaa6c3160a5c8c0e,0ff3b1e60f36cd7a67a570a33dbf41d18a1d04e80fbd2bc314c0c6fb50fda2b7
VE-0058,Critical,78463d7f219cecedf76d2e3d279cf433ea3cf691a6e9b49929308deeeab2f193,b0101fe47fa237523683dcfb0a0837d9f96a6c14a31876e0c79a662d23cb5261
VE-0059,Critical,e96bfe28b30529b5a494f75fb45424fc714c376db86269c4abb55a9c3712718d,77aca4f39f5a29be311d7faf10b41c16c1e2683496fef7cfdb354804bc7b5e0e
VE-0060,Critical,17a16941444484a3e84faa90fcd185c57dd95373b46b1f8f89ff88e20ef890ec,f0a6844e8d4070677aa00f67deb3dded47ca4d16165662cc1c25a8b7c50cba30
VE-0061,Critical,5f5ea0244ad3ef7ca00a3843e10b93e092d854a1d15437b55480401c7aea3e9e,0e97feab15211d52a11d9795b760e2cbd1b982ed0b663806504dd003ecb16747
VE-0062,Critical,2be714d7e649753c80002f0ff7621bee1e8afe58cf54a4b30437921e84b2afa1,abb1f98f35500b7e71b05b5840cf3736061ea2402fdcbd69194a9f72bec5690b
VE-0063,Critical,315de92ccef1dc6707d1ca90a618487209cb8dfd14505b55606c521a03be46f0,9183a05e1c5fb5990501416bd046ddaa6d714905a44294985b50445258809cf7
VE-0064,Critical,1186d8e49c651eee5367659d601b7aceee66a3a8da403b70842f5a91d7b6e869,fe0d14b1c6379870dba973dd497597acb3c2cc8f677cbd8bac1995e0f0fe6126
VE-0065,Critical,e3762a07bdafe58a0f7af736307ff7143978bc51cd86a80b1a20c7f5151d70d3,e9fe96d9aa882bbb36e637a44ff10294e786f008d7581fa56a5e94ecfb15eba1
VE-0066,Critical,063b90c27ad9419c3d0bf213cbd498f1319699e544e76c690f6c0afa1870a528,fce6f25f7da404bf14814e2c8b9dda98df8ca0bc814a366edaea74fefa99a401
VE-0067,Critical,4e702e21f7d10615dfff505d125addeb827c7026c89718fe745ba106ad3ce88a,e44bf635f8bfcbc8ccd712083204eadb16a8a3de0751033ecde0910b14b904d1
